city_development_index,training_hours,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,target
0.92,36,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,1
0.776,47,city_40,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,0
0.624,83,city_21,,No relevent experience,Full time course,Graduate,STEM,5,,,never,0
0.789,52,city_115,,No relevent experience,,Graduate,Business Degree,<1,,Pvt Ltd,never,1
0.767,8,city_162,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,0
0.764,24,city_176,,Has relevent experience,Part time course,Graduate,STEM,11,,,1,1
0.92,24,city_160,Male,Has relevent experience,no_enrollment,High School,,5,50-99,Funded Startup,1,0
0.762,18,city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,1
0.92,46,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,1
0.92,123,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,0
0.624,32,city_21,,No relevent experience,Full time course,High School,,2,,,never,1
0.92,108,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,0
0.913,23,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,0
0.624,24,city_21,Male,No relevent experience,,,,2,,,never,0
0.624,26,city_21,,No relevent experience,Full time course,High School,,5,,,never,0
0.926,18,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,oct-49,Pvt Ltd,>4,0
0.92,106,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,0
0.624,7,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,0
0.624,23,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,1
0.827,132,city_13,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,,,1,1
0.843,68,city_159,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,0
0.926,50,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,0
0.804,48,city_102,,Has relevent experience,no_enrollment,Masters,STEM,10,,,1,0
0.776,65,city_40,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,0
0.624,13,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,0
0.855,22,city_67,,No relevent experience,no_enrollment,High School,,4,,,never,0
0.624,148,city_21,,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,1
0.92,72,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,,,2,0
0.887,8,city_100,Male,Has relevent experience,no_enrollment,High School,,11,<10,Pvt Ltd,1,1
0.624,68,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,1
0.92,40,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,0
0.92,141,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,0
0.92,24,city_103,Female,No relevent experience,Full time course,Graduate,STEM,5,,,1,0
0.92,82,city_160,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,0
0.91,145,city_16,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,0
0.92,206,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,oct-49,Early Stage Startup,2,0
0.926,152,city_114,Male,No relevent experience,Part time course,High School,,1,10000+,Other,1,0
0.926,42,city_114,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,1
0.92,50,city_103,,No relevent experience,no_enrollment,Graduate,STEM,12,,,4,0
0.884,106,city_71,Male,No relevent experience,no_enrollment,,,3,,,never,0
0.926,14,city_114,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,0
0.924,36,city_104,Male,Has relevent experience,no_enrollment,High School,,4,oct-49,Pvt Ltd,2,0
0.624,112,city_21,,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,1
0.666,108,city_64,,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,0
0.624,7,city_21,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,1
0.624,26,city_21,Female,No relevent experience,Full time course,Masters,STEM,5,,,never,1
0.624,87,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,1
0.92,52,city_103,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,1
0.558,20,city_101,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,,,>4,1
0.923,21,city_83,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,oct-49,Pvt Ltd,1,0
0.558,92,city_101,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,1,1
0.666,102,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,0
0.794,26,city_105,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,0
0.924,7,city_104,,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,0
0.926,43,city_114,Male,No relevent experience,Full time course,High School,,4,10000+,Pvt Ltd,1,0
0.924,45,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,0
0.754,52,city_73,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,0
0.92,19,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,0
